Date,CostBlack,CostMilk,Count
2009/10/29,0.25,0,0
2009/12/01,0.25,0,0
2010/01/28,0.25,0,0
2010/03/05,0.25,0,0
2010/04/29,0.25,0,0
2010/08/04,0.25,0,0
2010/09/27,0.25,0,8088
2010/11/04,0.25,0.15,9584
2010/12/07,0.25,0.1,10891
2011/01/19,0.25,0.15,12137
2011/02/23,0.25,0.1,13516
2011/04/28,0.25,0.15,15742
2011/06/14,0.25,0.15,17501
2011/07/15,0.35,0.15,18669
2011/08/19,0.35,0.15,19747
2011/09/22,0.35,0.15,20849
2011/12/06,0.35,0.15,23450
2012/01/30,0.35,0.15,25249
2012/04/13,0.35,0.15,28551
2012/06/13,0.35,0.15,30739
2012/09/19,0.35,0.15,34739
2012/10/06,0.35,0.15,35278
2012/11/28,0.35,0.15,37962
2013/01/28,0.35,0.15,39911
2013/02/08,0.35,0.15,NA
2013/04/14,0.35,0.15,43034
2013/04/22,0.35,0.15,43321
2013/06/04,0.35,0.15,17
2013-Jun-26,0.35,0.15,894
2013-Jul-12,0.35,0.15,1551
2013-Aug-26,0.35,0.15,2984
2013-Sep-27,0.35,0.15,4582
2013-Nov-01,0.35,0.15,6349
2013-Dec-02,0.35,0.15,7984
2014-Mar-25,0.35,0.15,12150
2014-May-05,0.35,0.15,14032
2014-May-20,0.35,0.15,14753
2014-Jun-17,0.35,0.15,15996
2014-Aug-18,0.35,0.15,18278
2014-Oct-10,0.35,0.15,20304
2015-Jan-23,0.35,0.15,24461
2015-Apr-24,0.35,0.15,28465
2015-Aug-17,0.35,0.15,32537
2015-Oct-05,0.35,0.15,34098
2015-Nov-06,0.35,0.15,35420
2015-Dec-07,0.35,0.15,36611
2016-Feb-17,0.35,0.15,38880
2016-Mar-29,0.35,0.15,40422
2016-Jun-13,0.35,0.15,42450
2016-Aug-30,0.35,0.15,44136
2016-Sep-30,0.35,0.15,44980
2016-Dec-07,0.35,0.15,46629
2017-Feb-08,0.35,0.15,47861
2017-Apr-03,0.35,0.30,49197
2017-May-29,0.35,0.30,50427
2017-Jul-25,0.35,0.3,0